# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,
# Thu Jun 24 01:32:12 2021,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntname:       Planet Name,,,,,,,,,,,,,,,,,,,,,,
# COLUMN centralwavelng: Central Wavelength [microns],,,,,,,,,,,,,,,,,,,,,,
# COLUMN bandwidth:      Band Width [microns],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdep:    Transit Depth [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeplim: Transit Depth Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratror:      Ratio of Planet to Stellar Radius,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmid:     Transit Mid-Point [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranreflink: Reference,,,,,,,,,,,,,,,,,,,,,,
# COLUMN facility:       Facility,,,,,,,,,,,,,,,,,,,,,,
# COLUMN instrument:     Instrument,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
plntname,centralwavelng,,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument,
WASP-12 b,0.94,0.18,,,,,,,,,0.11967,0.00082,-0.00082,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.163,0.052,,,,,,,,,0.11975,0.00051,-0.00051,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.215,0.052,,,,,,,,,0.11902,0.00085,-0.00085,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.267,0.052,,,,,,,,,0.11912,0.0005,-0.0005,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.319,0.052,,,,,,,,,0.11829,0.0005,-0.0005,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.371,0.052,,,,,,,,,0.11977,0.00052,-0.00052,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.423,0.052,,,,,,,,,0.11913,0.00053,-0.00053,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.475,0.052,,,,,,,,,0.11926,0.00052,-0.00052,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.527,0.052,,,,,,,,,0.11989,0.00061,-0.00061,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.579,0.052,,,,,,,,,0.11849,0.00066,-0.00066,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
WASP-12 b,1.631,0.052,,,,,,,,,0.1183,0.00065,-0.00065,0,2454508.977005,0.00031,-0.00031,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph,
